nombre,region,latitud,longitud,altura,codigo_parroquia,Latitude, Longitude, Elevation, HorasDisconfort
CHOBO, Costa, -2.1, -79.6, 10, 91051, -2.14,  -79.64,  10.00,  2517\n, -2.10,  -79.58,  10.00,  2471\n
CHONE, Costa, -0.7, -79.9, 361, 130350, -0.66,  -79.89,  361.00,  2882\n
CHONTADURO, Costa, 0.9, -79.4, 203, 80751, 0.87,  -79.40,  203.00,  2387\n
CHONTAMARCA, Sierra, -2.4, -79.2, 2031, 30351, -2.39,  -79.15,  2031.00,  5762\n
CHONTAPUNTA, Oriente, -0.9, -77.3, 393, 150153, -0.94,  -77.27,  393.00,  3167\n
CHORDELEG, Sierra, -2.9, -78.8, 2586, 11150, -2.94,  -78.78,  2586.00,  5146\n
CHOROCOPTE, Sierra, -2.6, -79, 3568, 30352, -2.60,  -78.97,  3568.00,  6244\n
CHUGA, Sierra, 0.4, -77.9, 2841, 100551, 0.36,  -77.88,  2841.00,  5488\n
CHUGCHILLAN, Sierra, -0.8, -79, 3217, 50751, -0.83,  -78.98,  3217.00,  6127\n
CHUMBLIN, Sierra, -3.1, -79.2, 3528, 10751, -3.09,  -79.25,  3528.00,  6173\n
CHUMUNDE, Costa, 0.7, -79.4, 193, 80752, 0.70,  -79.39,  193.00,  2320\n
CHUNCHI, Sierra, -2.3, -78.9, 2992, 60550, -2.33,  -78.87,  2992.00,  5807\n
CHUPIANZA, Oriente, -2.8, -78.4, 1845, 140552, -2.78,  -78.39,  1845.00,  5216\n
CHUQUIRIBAMBA, Sierra, -3.8, -79.4, 3083, 110152, -3.84,  -79.36,  3083.00,  5780\n
CHURA_(CHANCAMA)_(CAB_EN_EL_YERBERO), Costa, 0.5, -79.5, 86, 80452, 0.53,  -79.46,  86.00,  2204\n
CIANO, Sierra, -3.9, -80, 1114, 111051, -3.91,  -79.99,  1114.00,  3892\n
COCHAPAMBA, Sierra, -0.8, -78.8, 3826, 50653, -0.84,  -78.78,  3826.00,  6289\n
COCHAPATA, Sierra, -3.4, -79.1, 2860, 10451, -3.38,  -79.06,  2860.00,  5202\n
COJIMIES, Costa, 0.2, -79.9, 67, 131751, 0.22,  -79.86,  67.00,  2134\n
COJITAMBO, Sierra, -2.8, -78.9, 2836, 30151, -2.76,  -78.88,  2836.00,  5310\n
COLAISACA, Sierra, -4.3, -79.7, 1527, 110251, -4.25,  -79.69,  1527.00,  4361\n
COLIMES, Costa, -1.5, -80.1, 23, 90550, -1.50,  -80.07,  23.00,  2397\n
COLONCHE, Costa, -2, -80.6, 71, 240152, -2.03,  -80.57,  71.00,  2456\n
COLON_ELOY_DEL_MARIA, Costa, 1, -78.9, 47, 80262, 1.00,  -78.91,  47.00,  2398\n
