nombre,region,latitud,longitud,altura,codigo_parroquia
AMERICA                                                                                             ,Costa               ,-1.4,-80.5,550, 130651             
ANCHAYACU                                                                                           ,Costa               ,0.9,-79.1,48, 80251              
ANCONCITO                                                                                           ,Costa               ,-2.3,-80.9,31, 240351             
ANCON_(PICHANGAL)_(CAB_EN_PALMA_REAL)                                                               ,Costa               ,1.4,-78.9,10, 80552              
ANGAMARCA                                                                                           ,Sierra              ,-1.1,-78.9,3334, 50451              
ANGEL_PEDRO_GILER_(LA_ESTANCILLA)                                                                   ,Costa               ,-0.8,-80.2,28, 131552             
ANGOCHAGUA                                                                                          ,Sierra              ,0.2,-78.1,2863, 100152             
ANTONIO_JOSE_HOLGUIN_(SANTA_LUCIA)                                                                  ,Sierra              ,-1.1,-78.6,2692, 50551              
ANTONIO_SOTOMAYOR_(CAB_EN_PLAYAS_DE_VINCES)                                                         ,Costa               ,-1.7,-79.8,16, 120851             
APUELA                                                                                              ,Sierra              ,0.4,-78.4,2389, 100351             
ARAJUNO                                                                                             ,Oriente             ,-1.3,-77.7,545, 160450             
ARAPICOS                                                                                            ,Oriente             ,-1.8,-78,1072, 140451             
ARCAPAMBA                                                                                           ,Costa               ,-3.6,-79.6,1468, 71352              
ARCHIDONA                                                                                           ,Oriente             ,-0.7,-78.2,3439, 150350             
ARENILLAS                                                                                           ,Costa               ,-3.6,-80,83, 70250              
ARQ_SIXTO_DURAN_BALLEN                                                                              ,Costa               ,-1.5,-80.3,245, 131653             
ASCAZUBI                                                                                            ,Sierra              ,-0.1,-78.3,3057, 170251             
ASUNCION                                                                                            ,Oriente             ,-3.2,-79.2,1710, 10251              
ASUNCION1                                                                                           ,                    ,-2.5,-78.3,1657, 140651             
ASUNCION_(ASANCOTO)                                                                                 ,Sierra              ,-1.6,-79.1,3016, 20351              
ATACAMES                                                                                            ,Costa               ,0.8,-79.8,100, 80650              
ATAHUALPA                                                                                           ,Costa               ,-2.3,-80.8,41, 240151             
ATAHUALPA1                                                                                          ,                    ,-0,-80,154, 131753             
ATAHUALPA_(CAB_EN_CAMARONES)                                                                        ,Costa               ,0.8,-79,140,80252               
ATAHUALPA_(CHISALATA)                                                                               ,Sierra              ,-1.2,-78.6,2652, 180152             
ATAHUALPA_(HABASPAMBA)                                                                              ,Sierra              ,0.1,-78.3,2571, 170153             
ATUNTAQUI                                                                                           ,Sierra              ,0.3,-78.2,2430, 100250             
AUGUSTO_N_MARTINEZ_(MUNDUGLEO)                                                                      ,Sierra              ,-1.2,-78.6,3208, 180153             
AVILA_(CAB_EN_HUIRUNO)                                                                              ,Oriente             ,-0.7,-77.4,469, 220451             
AYACUCHO                                                                                            ,Costa               ,-1.1,-80.3,83, 131351             
AYAPAMBA                                                                                            ,Costa               ,-3.6,-79.7,2113, 70351              
AZOGUES                                                                                             ,Sierra              ,-2.7,-78.8,2893, 30150              
BABA                                                                                                ,Costa               ,-1.8,-79.7,6, 120250             
BABAHOYO                                                                                            ,Costa               ,-1.9,-79.5,5, 120150             
BACHILLERO                                                                                          ,Costa               ,-0.8,-80.2,12, 131551             
BAEZA                                                                                               ,Oriente             ,-0.5,-78,3193, 150750             
BAHIA_DE_CARAQUEZ                                                                                   ,Costa               ,-0.7,-80.4,220, 131450             
BALAO                                                                                               ,Costa               ,-2.9,-79.7,37, 90350              
BALSAPAMBA                                                                                          ,Sierra              ,-1.8,-79.2,1147, 20551              
BALSAS                                                                                              ,Costa               ,-3.8,-79.8,672, 70451              
BALZAR                                                                                              ,Costa               ,-1.3,-79.9,36, 90450              
BANNOS                                                                                              ,Sierra              ,-3,-79.2,3522, 10151              
BANNOS_DE_AGUA_SANTA                                                                                ,Sierra              ,-1.4,-78.4,2693, 180250             
BAQUERIZO_MORENO                                                                                    ,Sierra              ,-1.2,-78.5,3325, 180851             
BARBONES_(SUCRE)                                                                                    ,Costa               ,-3.2,-79.9,4, 70651              
BARRAGANETE                                                                                         ,Costa               ,-0.7,-79.8,148, 131151             
BELISARIO_QUEVEDO_(GUANAILIN)                                                                       ,Sierra              ,-1,-78.6,3140, 50152              
BELLAMARIA                                                                                          ,Costa               ,-3.8,-79.9,595, 70850              
BELLAMARIA1                                                                                         ,                    ,-3.5,-79.9,76, 71257              
BELLAVISTA2                                                                                         ,                    ,-3.5,-80,26, 71251              
BELLAVISTA3                                                                                         ,                    ,-4.5,-79.5,1651, 110651             
BELLAVISTA4                                                                                         ,                    ,-1.4,-80.3,172, 131651             
BELLAVISTA5                                                                                         ,                    ,-3.9,-78.6,1588, 190553             
BELLAVISTA6                                                                                         ,                    ,-0.3,-90.5,1000, 200351             
BENITEZ_(PACHANLICA)                                                                                ,Sierra              ,-1.3,-78.6,2772, 180751             
BERMEJOS                                                                                            ,Oriente             ,-3.3,-78.8,2631, 140252             
BIBLIAN                                                                                             ,Sierra              ,-2.7,-78.9,3021, 30250              
BILBAO_(CAB_EN_QUILLUYACU)                                                                          ,Sierra              ,-1.5,-78.5,2865, 60956              
BILOVAN                                                                                             ,Sierra              ,-1.8,-79.2,1977, 20552              
BOLASPAMBA                                                                                          ,Sierra              ,-4.1,-80.3,565, 111355             
BOLIVAR                                                                                             ,Sierra              ,-1.4,-78.6,3004, 180752             
BOLIVAR1                                                                                            ,                    ,0.5,-77.9,2550, 40250              
BOLIVAR2                                                                                            ,                    ,0.5,-80,58, 80351              
BOMBOIZA                                                                                            ,Oriente             ,-3.5,-78.5,1092, 140253             
BORBON                                                                                              ,Costa               ,1,-79,23, 80253              
BOYACA                                                                                              ,Costa               ,-0.5,-80.2,220, 130351             
BUENAVISTA                                                                                          ,Costa               ,-3.9,-79.7,1110, 110551             
BUENAVISTA1                                                                                         ,                    ,-3.4,-79.8,24, 71256              
BULAN_(JOSE_VICTOR_IZQUIERDO)                                                                       ,Sierra              ,-2.7,-78.8,2565, 10552              
CACHA_(CAB_EN_MACHANGARA)                                                                           ,Sierra              ,-1.7,-78.7,3269, 60151              
CAHUASQUI                                                                                           ,Sierra              ,0.5,-78.3,2511, 100651             
CALACALI                                                                                            ,Sierra              ,0,-78.5,2869, 170154             
CALCETA                                                                                             ,Costa               ,-0.9,-80.1,159, 130250             
CALDERON                                                                                            ,Costa               ,1.2,-78.8,21, 80553              
CALDERON_(CARAPUNGO)                                                                                ,Sierra              ,-0.1,-78.4,2700, 170155             
CALPI                                                                                               ,Sierra              ,-1.6,-78.8,3205, 60152              
CALUMA                                                                                              ,Sierra              ,-1.6,-79.2,703, 20650              
CAMARONES_(CAB_EN_SAN_VICENTE)                                                                      ,Costa               ,1,-79.5,81, 80152              
CAMILO_PONCE_ENRIQUEZ                                                                               ,Sierra              ,-3.1,-79.7,1209, 11550              
CAMPOZANO_(LA_PALMA_DE_PAJAN)                                                                       ,Costa               ,-1.6,-80.4,167, 131051             
CANCHAGUA                                                                                           ,Sierra              ,-0.8,-78.7,3561, 50651              
CANELOS                                                                                             ,Oriente             ,-1.6,-77.7,472, 160152             
CANGAHUA                                                                                            ,Sierra              ,-0.1,-78.1,3495, 170252             
CANGONAMA                                                                                           ,Sierra              ,-4,-79.7,2244, 110951             
CANNAQUEMADA                                                                                        ,Costa               ,-3.3,-79.8,25, 70956              
CANNAR                                                                                              ,Sierra              ,-2.5,-79,3577, 30350              
CANNI                                                                                               ,Sierra              ,-1.8,-79,3147, 60351              
CANOA                                                                                               ,Costa               ,-0.4,-80.4,102, 132251             
CANUTO                                                                                              ,Costa               ,-0.8,-80.1,143, 130352             
CAPIRO_(CAB_EN_LA_CAPILLA_DE_CAPIRO)                                                                ,Costa               ,-3.8,-79.8,632, 71051              
CAPITAN_AUGUSTO_RIVADENEYRA                                                                         ,Oriente             ,-0.6,-75.8,219, 220251             
CAPZOL                                                                                              ,Sierra              ,-2.3,-78.9,2360, 60551              
CARACOL                                                                                             ,Costa               ,-1.7,-79.4,14, 120152             
CARCABON                                                                                            ,Costa               ,-3.6,-80.2,86, 70255              
CARIAMANGA                                                                                          ,Sierra              ,-4.3,-79.6,1899, 110250             
CARLOS_JULIO_AROSEMENA_TOLA                                                                         ,Oriente             ,-1.2,-77.9,964, 150950             
CAROLINA                                                                                            ,Sierra              ,0.6,-78.2,2486, 100153             
CARONDELET                                                                                          ,Costa               ,1.1,-78.7,45, 80554              
CASACAY                                                                                             ,Costa               ,-3.3,-79.7,245, 70952              
CASANGA                                                                                             ,Sierra              ,-4,-79.8,972, 110958             
CASCOL                                                                                              ,Costa               ,-1.8,-80.5,513, 131052             
CATACOCHA                                                                                           ,Sierra              ,-4.1,-79.6,2216, 110950             
CATAMAYO_(LA_TOMA)                                                                                  ,Sierra              ,-4,-79.3,1543, 110350             
CATARAMA                                                                                            ,Costa               ,-1.6,-79.5,11, 120650             
CAYAMBE                                                                                             ,Sierra              ,0,-78.1,3605, 170250             
CEBADAS                                                                                             ,Sierra              ,-2,-78.6,4021, 60651              
CELICA                                                                                              ,Sierra              ,-4.1,-80,1144, 110450             
CEVALLOS                                                                                            ,Sierra              ,-1.4,-78.6,2872, 180350             
CHACRAS                                                                                             ,Costa               ,-3.5,-80.2,23, 70251              
CHAGUARPAMBA                                                                                        ,Sierra              ,-3.9,-79.6,858, 110550             
CHAMBO                                                                                              ,Sierra              ,-1.8,-78.5,3843, 60450              
CHANDUY                                                                                             ,Costa               ,-2.4,-80.5,121, 240153             
CHANGAIMINA_(LA_LIBERTAD)                                                                           ,Sierra              ,-4.2,-79.5,1638, 110751             
CHANTACO                                                                                            ,Sierra              ,-3.9,-79.3,2394, 110151             
CHANTILIN                                                                                           ,Sierra              ,-0.9,-78.6,2868, 50652              
CHAQUINAL                                                                                           ,Sierra              ,-4.1,-80,1216, 111451             
CHARAPOTO                                                                                           ,Costa               ,-0.8,-80.4,111, 131453             
CHAUCHA                                                                                             ,Sierra              ,-2.9,-79.4,1984, 10153              
CHAVEZPAMBA                                                                                         ,Sierra              ,0.1,-78.4,2273, 170158             
CHECA_(CHILPA)                                                                                      ,Sierra              ,-0.2,-78.3,3231, 170159             
CHECA_(JIDCAY)                                                                                      ,Sierra              ,-2.7,-79,3751, 10154              
CHIBUNGA                                                                                            ,Costa               ,-0.1,-79.7,219, 130354             
CHICANNA                                                                                            ,Oriente             ,-3.6,-78.7,2172, 190551             
CHICAN_(GUILLERMO_ORTEGA)                                                                           ,Sierra              ,-2.8,-78.7,2854, 10553              
CHIGUAZA                                                                                            ,Oriente             ,-2,-78,967, 140751             
CHIGUINDA                                                                                           ,Oriente             ,-3.2,-78.7,3371, 140254             
CHILLA                                                                                              ,Costa               ,-3.4,-79.6,1855, 70550              
CHILLANES                                                                                           ,Sierra              ,-2,-79.1,2314, 20250              
CHINCA                                                                                              ,Costa               ,0.8,-79.6,22, 80154              
CHIQUICHA_(CAB_EN_CHIQUICHA_GRANDE)                                                                 ,Sierra              ,-1.3,-78.5,2643, 180754             
CHIQUINTAD                                                                                          ,Sierra              ,-2.8,-79.1,3550, 10155              
CHIRIJOS                                                                                            ,Costa               ,-1,-80.2,120, 130157             
CHITAN_DE_NAVARRETE                                                                                 ,Sierra              ,0.7,-77.8,3207, 40552              
CHITO                                                                                               ,Oriente             ,-4.9,-79,1450, 190251             
CHOBO                                                                                               ,Costa               ,-2.1,-79.6,10, 91051              
CHONE                                                                                               ,Costa               ,-0.7,-79.9,361, 130350             
CHONTADURO                                                                                          ,Costa               ,0.9,-79.4,203, 80751              
CHONTAMARCA                                                                                         ,Sierra              ,-2.4,-79.2,2031, 30351              
CHONTAPUNTA                                                                                         ,Oriente             ,-0.9,-77.3,393, 150153             
CHORDELEG                                                                                           ,Sierra              ,-2.9,-78.8,2586, 11150              
CHOROCOPTE                                                                                          ,Sierra              ,-2.6,-79,3568, 30352              
CHUGA                                                                                               ,Sierra              ,0.4,-77.9,2841, 100551             
CHUGCHILLAN                                                                                         ,Sierra              ,-0.8,-79,3217, 50751              
CHUMBLIN                                                                                            ,Sierra              ,-3.1,-79.2,3528, 10751              
CHUMUNDE                                                                                            ,Costa               ,0.7,-79.4,193, 80752              
CHUNCHI                                                                                             ,Sierra              ,-2.3,-78.9,2992, 60550              
CHUPIANZA                                                                                           ,Oriente             ,-2.8,-78.4,1845, 140552             
CHUQUIRIBAMBA                                                                                       ,Sierra              ,-3.8,-79.4,3083, 110152             
CHURA_(CHANCAMA)_(CAB_EN_EL_YERBERO)                                                                ,Costa               ,0.5,-79.5,86, 80452              
CIANO                                                                                               ,Sierra              ,-3.9,-80,1114, 111051             
COCHAPAMBA                                                                                          ,Sierra              ,-0.8,-78.8,3826, 50653              
COCHAPATA                                                                                           ,Sierra              ,-3.4,-79.1,2860, 10451              
COJIMIES                                                                                            ,Costa               ,0.2,-79.9,67, 131751             
COJITAMBO                                                                                           ,Sierra              ,-2.8,-78.9,2836, 30151              
COLAISACA                                                                                           ,Sierra              ,-4.3,-79.7,1527, 110251             
COLIMES                                                                                             ,Costa               ,-1.5,-80.1,23, 90550              
COLONCHE                                                                                            ,Costa               ,-2,-80.6,71, 240152             
COLON_ELOY_DEL_MARIA                                                                                ,Costa               ,1,-78.9,47, 80262              
COLUMBE                                                                                             ,Sierra              ,-1.9,-78.8,3695, 60352              
COMPUD                                                                                              ,Sierra              ,-2.4,-78.9,2791, 60552              
CONCEPCION                                                                                          ,Costa               ,1,-78.8,21, 80256              
CONCEPCION1                                                                                         ,                    ,0.7,-78.1,2793, 40451              
CONOCOTO                                                                                            ,Sierra              ,-0.3,-78.5,2526, 170156             
CONONACO                                                                                            ,Oriente             ,-1.1,-76.1,244, 220252             
CONSTANTINO_FERNANDEZ_(CAB_EN_CULLITAHUA)                                                           ,Sierra              ,-1.2,-78.6,3049, 180154             
CONVENTO                                                                                            ,Costa               ,-0.2,-80,214, 130353             
COPAL                                                                                               ,Oriente             ,-2.8,-78.5,2006, 140551             
CORDONCILLO                                                                                         ,Costa               ,-3.6,-79.6,1969, 70352              
CORONEL_MARCELINO_MARIDUENNA_(SAN_CARLOS)                                                           ,Costa               ,-2.2,-79.4,45, 92350              
COSANGA                                                                                             ,Oriente             ,-0.6,-78,3266, 150751             
COTACACHI                                                                                           ,Sierra              ,0.3,-78.3,2669, 100350             
COTALO                                                                                              ,Sierra              ,-1.4,-78.5,2229, 180753             
COTOGCHOA                                                                                           ,Sierra              ,-0.4,-78.5,3005, 170551             
COTUNDO                                                                                             ,Oriente             ,-0.7,-77.8,1327, 150352             
CRISTOBAL_COLON                                                                                     ,Sierra              ,0.6,-77.8,2802, 40551              
CRNEL_CARLOS_CONCHA_TORRES_(CAB_EN_HUELE)                                                           ,Costa               ,0.7,-79.7,358, 80153              
CRNEL_LORENZO_DE_GARAICOA_(PEDREGAL)                                                                ,Costa               ,-2.1,-79.4,40, 92251              
CRUCITA                                                                                             ,Costa               ,-0.9,-80.5,114, 130153             
CRUZPAMBA_(CAB_EN_CARLOS_BUSTAMANTE)                                                                ,Sierra              ,-4.2,-80,1018, 110451             
CUBE                                                                                                ,Costa               ,0.5,-79.7,445, 80451              
CUBIJIES                                                                                            ,Sierra              ,-1.7,-78.6,2738, 60153              
CUCHAENTZA                                                                                          ,Oriente             ,-2.2,-77.8,1029, 140162             
CUCHIL_(CUTCHIL)                                                                                    ,Sierra              ,-3.1,-78.8,2840, 10951              
CUENCA                                                                                              ,Sierra              ,-2.9,-79,2557, 10150              
CUMANDA                                                                                             ,Sierra              ,-2.2,-79.1,742, 61050              
CUMANDA_(CAB_EN_COLONIA_AGRICOLA_SEVILLA_DEL_ORO)                                                   ,Oriente             ,-1.6,-78.2,1878, 140452             
CUMBARATZA                                                                                          ,Oriente             ,-4,-78.9,1122, 190151             
CUMBAYA                                                                                             ,Sierra              ,-0.2,-78.4,2351, 170157             
CUMBE                                                                                               ,Sierra              ,-3.1,-79,2886, 10152              
CUNCHIBAMBA                                                                                         ,Sierra              ,-1.1,-78.6,2670, 180167             
CURARAY                                                                                             ,Oriente             ,-1.4,-76.7,239, 160451             
CURTINCAPA                                                                                          ,Costa               ,-3.7,-79.5,1174, 71151              
CUSUBAMBA                                                                                           ,Sierra              ,-1.1,-78.7,3815, 50552              
CUTUGLAHUA                                                                                          ,Sierra              ,-0.4,-78.6,3058, 170353             
CUYABENO                                                                                            ,Oriente             ,-0.4,-75.6,224, 210751             
CUYUJA                                                                                              ,Oriente             ,-0.4,-78.1,3580, 150752             
DANIEL_CORDOVA_TORAL_(EL_ORIENTE)                                                                   ,Sierra              ,-2.9,-78.7,3030, 10352              
DAULE                                                                                               ,Costa               ,-1.9,-80,12, 90650              
DAULE1                                                                                              ,                    ,0.4,-80,82, 80352              
DAYUMA                                                                                              ,Oriente             ,-0.7,-76.8,294, 220151             
DELEG                                                                                               ,Sierra              ,-2.8,-78.9,2877, 30650              
DIEZ_DE_AGOSTO                                                                                      ,Oriente             ,-1.4,-77.9,1000, 160154             
DOCTOR_MIGUEL_EGAS_CABEZAS_(PEGUCHE)                                                                ,Sierra              ,0.3,-78.2,2735, 100451             
DUCUR                                                                                               ,Sierra              ,-2.5,-79.2,1361, 30363              
DUG_DUG                                                                                             ,Sierra              ,-2.7,-78.7,2627, 10562              
DURENO                                                                                              ,Oriente             ,0,-76.7,281, 210152             
ECHEANDIA                                                                                           ,Sierra              ,-1.5,-79.3,702, 20450              
ELOY_ALFARO                                                                                         ,Costa               ,-0.4,-80.1,137, 130355             
ELOY_ALFARO_(DURAN)                                                                                 ,Costa               ,-2.2,-79.8,4, 90750              
EL_AIRO                                                                                             ,Sierra              ,-4.5,-79.4,2357, 110656             
EL_ALTAR                                                                                            ,Sierra              ,-1.5,-78.4,3662, 60951              
EL_ANEGADO_(CAB_EN_ELOY_ALFARO)                                                                     ,Costa               ,-1.5,-80.5,428, 130652             
EL_ANGEL                                                                                            ,Sierra              ,0.6,-78,3023, 40350              
EL_ARENAL                                                                                           ,Sierra              ,-4,-80,962, 111052             
EL_CABO                                                                                             ,Sierra              ,-2.8,-78.8,2768, 10554              
EL_CARMELO_(EL_PUN)                                                                                 ,Sierra              ,0.7,-77.6,2987, 40151              
EL_CARMEN                                                                                           ,Costa               ,-0.4,-79.5,168, 130450             
EL_CARMEN_DE_PIJILI                                                                                 ,Sierra              ,-2.9,-79.6,591, 11551              
EL_CHACO                                                                                            ,Oriente             ,-0.3,-77.8,1541, 150450             
EL_CHAUPI                                                                                           ,Sierra              ,-0.6,-78.7,3618, 170354             
EL_CHICAL                                                                                           ,Sierra              ,1,-78.3,1367, 40159              
EL_CHORRO                                                                                           ,Oriente             ,-4.9,-79.1,1204, 190252             
EL_CISNE                                                                                            ,Sierra              ,-3.8,-79.5,1911, 110153             
EL_CORAZON                                                                                          ,Sierra              ,-1.1,-79,2254,50350      
EL_DORADO                                                                                           ,Oriente             ,-0.5,-76.9,307, 220154             
EL_DORADO_DE_CASCALES                                                                               ,Oriente             ,0.1,-77.2,506, 210650             
EL_EDEN                                                                                             ,Oriente             ,-0.6,-76.2,234, 220155             
EL_ENO                                                                                              ,Oriente             ,-0,-76.9,322, 210155             
EL_ESFUERZO                                                                                         ,Sierra              ,-0.5,-79.2,587, 230156             
EL_GOALTAL                                                                                          ,Sierra              ,0.8,-78.1,2442, 40351              
EL_GUABO                                                                                            ,Costa               ,-3.2,-79.8,13, 70650              
EL_GUISME                                                                                           ,Oriente             ,-3.6,-78.6,950, 190651             
EL_IDEAL                                                                                            ,Oriente             ,-3.4,-78.7,1438, 140258             
EL_INGENIO                                                                                          ,Costa               ,-4.4,-79.4,1809, 110655             
EL_INGENIO1                                                                                         ,                    ,-3.7,-79.9,632, 70851              
EL_LIMO_(MARIANA_DE_JESUS)                                                                          ,Sierra              ,-4,-80.2,779, 111053             
EL_LUCERO                                                                                           ,Sierra              ,-4.4,-79.5,1539, 110252             
EL_PAN                                                                                              ,Sierra              ,-2.8,-78.7,2462, 11250              
EL_PANGUI                                                                                           ,Oriente             ,-3.6,-78.6,836, 190650             
EL_PARAISO                                                                                          ,Costa               ,-3.8,-80,664, 71452              
EL_PARAISO_DE_CELEN                                                                                 ,Sierra              ,-3.6,-79.4,2794, 111151             
EL_PIEDRERO                                                                                         ,Costa               ,-2.4,-79.3,321, 900451             
EL_PLAYON_DE_SAN_FRANCISCO                                                                          ,Oriente             ,0.5,-77.7,3493, 210551             
EL_PORVENIR_DEL_CARMEN                                                                              ,Oriente             ,-4.5,-79,2445, 190851             
EL_PROGRESO                                                                                         ,                    ,-0.8,-89.4,1000, 200151             
EL_PROGRESO_(CAB_EN_ZHOTA)                                                                          ,Sierra              ,-3.4,-79.2,2307, 10452              
EL_QUINCHE                                                                                          ,Sierra              ,-0.1,-78.3,2975, 170160             
EL_RETIRO                                                                                           ,Costa               ,-3.4,-80,0, 70152              
EL_REVENTADOR                                                                                       ,Oriente             ,0.1,-77.7,2181,210251              
EL_ROSARIO                                                                                          ,Costa               ,-3.3,-78.7,1869, 140255             
EL_ROSARIO1                                                                                         ,                    ,-1.1,-79.8,66, 90852              
EL_ROSARIO2                                                                                         ,                    ,-3.8,-79.6,913, 110552             
EL_ROSARIO_(RUMICHACA)                                                                              ,Sierra              ,-1.3,-78.6,2806, 180755             
EL_SALITRE_(LAS_RAMAS)                                                                              ,Costa               ,-1.8,-79.8,8, 91950              
EL_TABLON                                                                                           ,Sierra              ,-3.5,-79.2,2859, 111152             
EL_TAMBO                                                                                            ,Sierra              ,-2.5,-78.9,3382, 30550              
EL_TAMBO1                                                                                           ,                    ,-4.1,-79.3,1765, 110351             
EL_TRIUNFO                                                                                          ,Sierra              ,-2.3,-79.4,59, 90950              
EL_TRIUNFO1                                                                                         ,                    ,-1.3,-78.4,2460, 180551             
EL_TRIUNFO2                                                                                         ,                    ,-1.4,-77.8,834, 160166             
EMILIO_MARIA_TERAN_(RUMIPAMBA)                                                                      ,Sierra              ,-1.2,-78.5,2748, 180852             
ENOKANQUI                                                                                           ,Oriente             ,-0.2,-76.8,280, 220351             
ESMERALDAS                                                                                          ,Costa               ,0.9,-79.7,185, 80150              
EUGENIO_ESPEJO_(CALPAQUI)                                                                           ,Sierra              ,0.2,-78.3,2979, 100452             
FACUNDO_VELA                                                                                        ,Sierra              ,-1.2,-79.1,1788, 20151              
FATIMA                                                                                              ,Oriente             ,-1.4,-78,1037, 160155             
FEBRES_CORDERO_(LAS_JUNTAS)                                                                         ,Costa               ,-2,-79.3,24, 120153             
FERNANDEZ_SALVADOR                                                                                  ,Sierra              ,0.6,-77.7,3023, 40553              
FLAVIO_ALFARO                                                                                       ,Costa               ,-0.3,-79.8,280, 130550             
FLORES                                                                                              ,Sierra              ,-1.8,-78.7,3125, 60154              
FUNDOCHAMBA                                                                                         ,Sierra              ,-4.3,-79.4,1932, 111551             
GALERA                                                                                              ,Costa               ,0.8,-80.1,150, 80353              
GARCIA_MORENO                                                                                       ,Sierra              ,0.5,-78,2977, 40251              
GARCIA_MORENO1                                                                                      ,                    ,-0.6,-77,279, 220156             
GARCIA_MORENO_(CHUMAQUI)                                                                            ,Sierra              ,-1.3,-78.5,2487, 180756             
GARCIA_MORENO_(LLURIMAGUA)                                                                          ,Sierra              ,0.3,-78.8,1529, 100352             
GARZAREAL                                                                                           ,Sierra              ,-4.3,-80.3,376, 111352             
GENERAL_FARFAN                                                                                      ,Oriente             ,0.2,-76.7,329, 210153             
GENERAL_MORALES_(SOCARTE)                                                                           ,Sierra              ,-2.4,-79,2408, 30353              
GENERAL_PROANNO                                                                                     ,Oriente             ,-2.3,-78.1,1109, 140153             
GENERAL_VILLAMIL_(PLAYAS)                                                                           ,Costa               ,-2.6,-80.4,117, 92150              
GIMA                                                                                                ,Sierra              ,-3.2,-78.9,2876, 10952              
GIRON                                                                                               ,Sierra              ,-3.2,-79.1,2611, 10250              
GONZALEZ_SUAREZ                                                                                     ,Sierra              ,0.2,-78.2,2932, 100453             
GONZALO_DIAZ_DE_PINEDA_(EL_BOMBON)                                                                  ,Oriente             ,-0.3,-77.5,1208, 150451             
GONZALO_PIZARRO                                                                                     ,Oriente             ,-0.1,-77.4,696, 210252             
GONZANAMA                                                                                           ,Sierra              ,-4.2,-79.4,1987, 110750             
GONZOL                                                                                              ,Sierra              ,-2.3,-78.9,2891, 60553              
GRAL_ANTONIO_ELIZALDE_(BUCAY)                                                                       ,Costa               ,-2.2,-79.2,178, 92750              
GRAL_LEONIDAS_PLAZA_GUTIERREZ                                                                       ,Oriente             ,-3,-78.5,2572, 140350             
GRAL_PEDRO_J_MONTERO_(BOLICHE)                                                                      ,Costa               ,-2.3,-79.6,21, 92053              
