Latitude, Longitude, Elevation, HorasDisconfort
-1.25, -78.53, 2643.00, 5333
-2.77, -79.06, 3550.00, 6402
-1.01, -80.19, 120.00, 2064
0.66, -77.81, 3207.00, 5816
-4.87, -79.01, 1450.00, 4554
-2.14, -79.64, 10.00, 2517
-0.66, -79.89, 361.00, 2882
-2.39, -79.15, 2031.00, 5762
-0.94, -77.27, 393.00, 3167
-2.94, -78.78, 2586.00, 5146
-2.60, -78.97, 3568.00, 6244
0.36, -77.88, 2841.00, 5488
-0.83, -78.98, 3217.00, 6127
-3.09, -79.25, 3528.00, 6173
0.70, -79.39, 193.00, 2320
-2.33, -78.87, 2992.00, 5807
-2.78, -78.39, 1845.00, 5216
0.53, -79.46, 86.00, 2204
-3.91, -79.99, 1114.00, 3892
-0.84, -78.78, 3826.00, 6289
-3.38, -79.06, 2860.00, 5202
0.22, -79.86, 67.00, 2134
-2.76, -78.88, 2836.00, 5310
-4.25, -79.69, 1527.00, 4361
-1.50, -80.07, 23.00, 2397
1.00, -78.91, 47.00, 2398
-2.03, -80.57, 71.00, 2456
-2.36, -78.93, 2791.00, 5501
1.04, -78.85, 21.00, 2360
0.66, -78.11, 2793.00, 5223
-0.29, -78.48, 2526.00, 5130
-1.05, -76.07, 244.00, 2749
-1.19, -78.64, 3049.00, 5723
-0.24, -80.00, 214.00, 2144
-2.77, -78.50, 2006.00, 5215
-3.56, -79.63, 1969.00, 4121
-2.24, -79.38, 45.00, 2433
0.31, -78.30, 2669.00, 5199
-1.44, -78.51, 2229.00, 5182
-0.41, -78.46, 3005.00, 5145
-0.70, -77.83, 1327.00, 4590
0.61, -77.81, 2802.00, 5309
0.67, -79.72, 358.00, 3038
-2.06, -79.37, 40.00, 2449
-0.89, -80.53, 114.00, 2028
-4.17, -80.02, 1018.00, 3892
0.49, -79.67, 445.00, 3278
-2.16, -77.85, 1029.00, 4045
-3.14, -78.81, 2840.00, 5544
-2.89, -79.00, 2557.00, 5338
0.52, -77.88, 2682.00, 5301
-2.21, -79.08, 742.00, 3652
-1.59, -78.19, 1878.00, 5370
-3.98, -78.87, 1122.00, 3971
-0.21, -78.44, 2351.00, 4916
-3.10, -79.02, 2886.00, 5409
-1.13, -78.59, 2670.00, 5467
-3.73, -79.54, 1174.00, 3895
-1.09, -78.75, 3815.00, 6433
-0.37, -78.57, 3058.00, 5545
-0.36, -75.63, 224.00, 2800
-0.42, -78.06, 3580.00, 6199
-2.88, -78.72, 3030.00, 5491
-1.90, -79.96, 12.00, 2528
0.40, -79.97, 82.00, 2181
-0.71, -76.78, 294.00, 2933
-2.75, -78.94, 2877.00, 5389
0.25, -78.23, 2735.00, 5162
-2.47, -79.17, 1361.00, 3124
-2.72, -78.73, 2627.00, 5215
0.01, -76.69, 281.00, 2932
-1.46, -79.26, 702.00, 3557
-4.48, -79.38, 2357.00, 4993
-1.55, -78.44, 3662.00, 6313
-1.50, -80.53, 428.00, 3009
0.64, -77.97, 3023.00, 5478
-4.33, -79.57, 1899.00, 4713
-4.15, -80.43, 301.00, 3182
-0.85, -78.65, 2868.00, 5431
-3.17, -78.69, 3371.00, 6215
0.87, -79.40, 203.00, 2387
-3.84, -79.36, 3083.00, 5780
-1.86, -78.78, 3695.00, 6287
-0.58, -77.96, 3266.00, 6150
-1.66, -78.60, 2738.00, 5401
-1.35, -76.69, 239.00, 2955
-2.84, -78.80, 2768.00, 5325
0.66, -77.61, 2987.00, 5548
-0.39, -79.53, 168.00, 2186
-2.92, -79.56, 591.00, 3408
-0.34, -77.80, 1541.00, 5258
-0.60, -78.69, 3618.00, 6072
1.00, -78.26, 1367.00, 3687
-4.91, -79.10, 1204.00, 4273
-3.84, -79.45, 1911.00, 3569
-1.14, -79.03, 2254.00, 5728
0.15, -77.25, 506.00, 2690
-0.57, -76.19, 234.00, 2904
-0.04, -76.87, 322.00, 3013
-0.46, -79.21, 587.00, 3422
0.77, -78.13, 2442.00, 5321
-3.22, -79.80, 13.00, 2306
-3.57, -78.59, 950.00, 3718
0.59, -78.05, 2974.00, 5238
-3.38, -78.67, 1438.00, 4339
-4.44, -79.38, 1809.00, 4714
-4.00, -80.19, 779.00, 3567
-4.39, -79.50, 1539.00, 4379
-2.78, -78.67, 2462.00, 5180
-3.63, -78.60, 836.00, 3612
-3.80, -80.02, 664.00, 3368
-3.60, -79.35, 2794.00, 5373
-2.38, -79.27, 321.00, 2847
0.53, -77.67, 3493.00, 6143
-4.48, -79.02, 2445.00, 5439
-0.83, -89.43, 1000.00, 3475
-0.12, -78.27, 2975.00, 5116
-3.38, -79.96, 0.00, 2327
0.07, -77.73, 2181.00, 5598
-3.25, -78.65, 1869.00, 4685
-1.28, -78.56, 2806.00, 5388
-1.05, -79.78, 66.00, 2128
-3.80, -79.64, 913.00, 3655
-1.83, -79.82, 8.00, 2485
-3.51, -79.18, 2859.00, 5392
-2.49, -78.92, 3382.00, 6163
-2.29, -79.36, 59.00, 2433
-1.31, -78.41, 2460.00, 5355
-1.43, -77.77, 834.00, 3715
-0.41, -80.08, 137.00, 2026
-2.23, -79.78, 4.00, 2533
-1.21, -78.50, 2748.00, 5470
-0.23, -76.84, 280.00, 2903
0.95, -79.69, 185.00, 2344
0.19, -78.25, 2979.00, 5298
-1.21, -79.13, 1788.00, 5585
-1.98, -79.32, 24.00, 2365
0.57, -77.73, 3023.00, 5567
-0.35, -79.80, 280.00, 2617
-1.83, -78.66, 3125.00, 5694
-4.33, -79.37, 1932.00, 4712
0.78, -80.05, 150.00, 2308
0.55, -77.97, 2977.00, 5378
-1.30, -78.54, 2487.00, 5286
0.30, -78.79, 1529.00, 5257
-0.57, -77.02, 279.00, 2911
0.18, -76.74, 329.00, 2767
-2.37, -79.05, 2408.00, 5750
-2.25, -78.14, 1109.00, 4113
-2.56, -80.44, 117.00, 2635
-3.21, -78.93, 2876.00, 5607
-3.18, -79.13, 2611.00, 5285
0.15, -78.20, 2932.00, 5284
-0.26, -77.51, 1208.00, 4573
-0.06, -77.38, 696.00, 2851
-4.23, -79.44, 1987.00, 3749
-2.16, -79.20, 178.00, 2434
-2.99, -78.53, 2572.00, 5413
-2.26, -79.59, 21.00, 2505
-1.77, -79.78, 7.00, 2479
-4.04, -79.86, 2676.00, 5364
-2.77, -78.70, 2375.00, 5186
-3.87, -78.91, 997.00, 3805
-0.83, -78.64, 2900.00, 5408
-2.90, -78.80, 2454.00, 5149
-3.32, -78.57, 1578.00, 2995
0.12, -78.76, 1324.00, 4941
-3.75, -79.37, 2580.00, 5318
-2.58, -79.10, 3739.00, 6661
-1.40, -78.53, 2966.00, 5377
-2.00, -78.69, 3596.00, 6163
-1.51, -78.53, 2492.00, 5310
-3.45, -79.50, 2941.00, 5549
-0.90, -78.84, 3642.00, 6292
-0.25, -78.44, 2526.00, 5001
-1.60, -78.62, 2661.00, 5347
-2.68, -78.64, 2739.00, 5332
-1.51, -79.01, 3170.00, 6204
-1.59, -79.66, 14.00, 2396
-0.79, -79.10, 1466.00, 5023
-2.23, -78.78, 2793.00, 5403
-2.33, -80.04, 11.00, 2582
-0.94, -79.61, 75.00, 2198
-0.05, -78.34, 2146.00, 4889
-3.86, -79.52, 2164.00, 5021
-4.07, -78.68, 941.00, 3847
-3.98, -79.98, 962.00, 3764
-0.53, -76.92, 307.00, 2986
-3.73, -79.95, 632.00, 3272
-3.37, -79.25, 2307.00, 5014
-4.09, -79.30, 1765.00, 4485
-1.42, -77.98, 1037.00, 3044
-4.27, -80.27, 376.00, 3258
-2.27, -78.86, 2891.00, 5517
-1.65, -80.27, 64.00, 2358
-2.67, -78.84, 3236.00, 5686
-3.28, -79.81, 25.00, 2219
-1.44, -77.88, 1000.00, 3065
-3.03, -78.76, 2657.00, 5438
-2.74, -78.81, 2831.00, 5308
-1.33, -78.48, 2492.00, 5375
-2.22, -80.96, 5.00, 2628
0.49, -78.02, 1745.00, 4928
-3.66, -79.47, 2341.00, 5190
-1.11, -80.14, 185.00, 2165
-2.60, -78.87, 3102.00, 5703
0.63, -77.72, 2915.00, 5431
-1.31, -78.64, 2896.00, 5460
-2.56, -78.13, 924.00, 3807
-1.92, -77.92, 951.00, 3979
-3.46, -80.19, 1.00, 2567
-2.53, -77.04, 285.00, 3047
-3.58, -79.60, 1878.00, 3482
-1.55, -78.58, 3260.00, 5824
0.45, -78.35, 3902.00, 6301
-3.84, -79.09, 1970.00, 4198
0.38, -78.16, 2060.00, 5164
-3.05, -78.48, 1259.00, 4133
-0.98, -76.82, 315.00, 2996
-2.52, -78.82, 3460.00, 6049
0.65, -77.97, 3052.00, 5528
-1.96, -80.16, 51.00, 2475
-0.78, -78.86, 3265.00, 5826
-1.19, -90.21, 1000.00, 3389
-1.22, -78.57, 2610.00, 5378
-2.90, -78.85, 2946.00, 5392
-0.22, -80.23, 95.00, 2075
-3.35, -80.14, 0.00, 2569
0.23, -77.10, 365.00, 3006
-0.98, -80.60, 46.00, 1980
-2.81, -78.89, 2520.00, 5230
-2.65, -78.97, 3414.00, 5966
-2.58, -79.53, 23.00, 2443
-3.87, -79.18, 2231.00, 5088
-4.65, -79.44, 2593.00, 5244
-1.30, -80.56, 376.00, 2820
-2.28, -80.90, 19.00, 2527
-0.82, -78.60, 2905.00, 5466
-1.89, -79.87, 2.00, 2546
-1.34, -78.72, 3431.00, 6128
-1.86, -78.91, 3531.00, 6256
-2.40, -80.33, 100.00, 2596
0.56, -78.10, 2156.00, 5063
0.69, -77.71, 3039.00, 5617
-1.57, -79.09, 2057.00, 5827
-2.44, -78.89, 3910.00, 6626
-0.94, -80.19, 63.00, 2024
-1.73, -79.86, 5.00, 2478
-3.57, -79.95, 142.00, 2367
-0.77, -77.07, 340.00, 3004
-3.70, -79.90, 269.00, 2745
0.51, -77.57, 2599.00, 5458
-1.64, -78.44, 3902.00, 6566
-4.95, -79.09, 1300.00, 4443
-0.00, -79.38, 226.00, 2729
0.27, -78.13, 2851.00, 5188
0.06, -78.26, 3023.00, 5309
-0.98, -79.41, 100.00, 2245
-3.24, -79.88, 14.00, 2284
-3.09, -76.84, 268.00, 2661
-2.24, -80.89, 29.00, 2600
0.71, -77.96, 3534.00, 6015
-3.85, -80.11, 799.00, 3540
-0.29, -78.39, 2540.00, 5143
0.64, -78.38, 2287.00, 5383
0.52, -77.85, 2700.00, 5327
-3.75, -78.95, 1391.00, 4253
-3.31, -79.85, 21.00, 2187
-1.14, -80.59, 253.00, 2455
-1.57, -78.55, 2612.00, 5289
0.33, -77.69, 2101.00, 5662
-3.94, -79.56, 1369.00, 4102
1.14, -79.06, 6.00, 2327
-2.94, -78.75, 2938.00, 5426
-1.72, -79.38, 11.00, 2435
0.15, -79.43, 163.00, 2230
-1.44, -80.45, 468.00, 2982
0.73, -79.84, 140.00, 2329
-1.22, -80.17, 75.00, 2095
-0.91, -78.70, 3017.00, 5679
-1.89, -79.73, 8.00, 2511
-3.79, -80.09, 442.00, 3065
-4.45, -79.80, 1550.00, 4514
-0.25, -76.93, 301.00, 2976
-4.25, -79.90, 1165.00, 4010
0.32, -79.07, 356.00, 3050
-1.29, -79.29, 426.00, 3006
-3.31, -79.15, 3251.00, 5764
-0.47, -78.97, 1469.00, 4909
-1.52, -80.25, 96.00, 2233
-0.92, -78.54, 3154.00, 5700
-1.81, -79.92, 3.00, 2482
-3.94, -79.79, 1904.00, 3329
-1.80, -78.62, 2986.00, 5666
-1.81, -80.01, 5.00, 2521
-0.39, -76.52, 258.00, 2965
-4.36, -80.38, 229.00, 3098
-0.41, -77.67, 2560.00, 5614
0.78, -78.38, 1521.00, 4833
-2.84, -78.93, 2541.00, 5237
-2.37, -78.97, 2817.00, 5528
-0.13, -78.44, 2601.00, 4972
-1.38, -78.45, 2416.00, 5263
-3.49, -79.33, 2398.00, 5094
-2.61, -78.22, 672.00, 3424
-3.99, -79.20, 2071.00, 4789
-1.85, -80.08, 14.00, 2435
-0.66, -77.28, 402.00, 3108
0.48, -77.96, 2634.00, 5388
-1.25, -78.49, 2952.00, 5557
-3.79, -78.56, 1504.00, 4338
-1.98, -79.92, 3.00, 2563
-3.09, -78.88, 2733.00, 5457
-2.28, -79.00, 2256.00, 5611
-1.69, -79.64, 5.00, 2506
0.84, -78.32, 1667.00, 5097
-1.50, -80.64, 236.00, 2596
-4.68, -78.92, 2192.00, 5620
-0.93, -79.23, 225.00, 2608
-2.44, -79.33, 98.00, 2407
1.01, -79.22, 86.00, 2337
-1.64, -78.71, 2978.00, 5563
-0.21, -78.69, 2752.00, 5455
-2.94, -78.69, 3449.00, 5949
-3.00, -78.71, 3443.00, 6051
0.58, -78.70, 749.00, 2731
0.07, -77.40, 522.00, 3320
-0.46, -79.34, 231.00, 2580
-4.32, -79.96, 629.00, 3492
-2.30, -78.15, 1309.00, 3260
-0.58, -78.46, 3897.00, 6353
-3.29, -79.94, 9.00, 2223
-1.47, -80.74, 155.00, 2175
-1.61, -78.01, 870.00, 3810
-1.67, -79.09, 2719.00, 6135
0.67, -79.50, 92.00, 2249
-4.19, -79.24, 1935.00, 3412
0.03, -78.36, 2624.00, 5028
0.83, -78.04, 2590.00, 5307
1.05, -78.90, 29.00, 2344
0.44, -79.20, 172.00, 2330
-3.67, -79.63, 1098.00, 3869
-0.68, -79.59, 90.00, 2180
-1.79, -80.69, 228.00, 2695
-1.01, -80.77, 130.00, 1984
-3.53, -79.43, 3365.00, 6016
-0.41, -78.78, 2153.00, 5297
-2.38, -79.40, 43.00, 2480
-3.79, -79.93, 583.00, 3272
-1.15, -78.42, 3840.00, 6491
0.24, -77.99, 3382.00, 5990
-2.84, -78.73, 2789.00, 5281
0.59, -77.70, 3402.00, 5974
1.25, -78.64, 145.00, 2500
-1.59, -78.44, 3605.00, 6284
-1.24, -80.67, 223.00, 2411
-0.87, -79.94, 150.00, 2096
-1.34, -78.06, 1303.00, 3872
-4.02, -79.94, 1495.00, 4290
-2.10, -79.58, 10.00, 2471
-3.62, -79.67, 1240.00, 4039
-0.06, -78.74, 1726.00, 5293
0.56, -78.05, 2539.00, 5050
-1.42, -78.70, 3814.00, 6279
-2.72, -79.40, 1870.00, 5257
-1.80, -79.32, 27.00, 2324
-1.93, -76.92, 356.00, 3161
0.89, -79.29, 198.00, 2421
-1.33, -78.62, 2870.00, 5422
0.40, -77.84, 3064.00, 5744
-1.13, -80.72, 95.00, 2025
-3.70, -79.46, 2275.00, 5162
-1.09, -79.22, 826.00, 3871
-2.57, -80.32, 17.00, 2572
0.61, -79.95, 35.00, 2241
-1.10, -78.64, 3026.00, 5752
-0.73, -78.51, 3503.00, 6020
-1.02, -78.54, 3089.00, 5773
-2.14, -78.99, 2269.00, 5597
-3.64, -79.64, 1137.00, 3954
-3.28, -79.04, 2824.00, 5284
-4.10, -79.43, 1603.00, 4349
0.12, -78.63, 1385.00, 4823
-2.71, -79.64, 24.00, 2480
-2.15, -79.40, 46.00, 2387
-1.97, -80.05, 8.00, 2513
-0.17, -78.43, 2420.00, 4971
-2.69, -79.01, 3618.00, 6362
-1.45, -80.39, 405.00, 2858
-0.05, -78.60, 2726.00, 5266
-4.27, -79.82, 1539.00, 4386
0.13, -76.91, 311.00, 3058
-4.49, -78.80, 1469.00, 4551
-0.34, -77.12, 272.00, 2871
-4.01, -78.60, 1675.00, 4581
-1.01, -75.60, 220.00, 2704
-2.86, -78.89, 2531.00, 5235
-2.77, -78.97, 2821.00, 5407
-3.94, -79.63, 1518.00, 4321
0.07, -77.98, 3941.00, 6637
-1.36, -80.21, 153.00, 2154
-3.88, -79.89, 1252.00, 4092
-0.02, -78.25, 2805.00, 5017
-0.19, -77.96, 3193.00, 5902
0.49, -78.22, 2583.00, 5260
-1.86, -78.28, 2849.00, 5689
0.11, -76.50, 303.00, 2675
-3.56, -79.66, 1552.00, 4373
-2.90, -78.93, 2807.00, 5372
-3.68, -78.59, 881.00, 3586
0.16, -78.84, 1374.00, 5025
-1.55, -80.47, 277.00, 2606
-1.33, -79.72, 35.00, 2375
-1.64, -79.92, 19.00, 2473
-4.14, -80.25, 607.00, 3451
-2.02, -78.93, 1958.00, 5195
0.11, -76.21, 259.00, 2701
-3.70, -80.11, 93.00, 2509
-2.70, -78.60, 2883.00, 5330
-2.08, -78.75, 3294.00, 5865
-0.43, -78.91, 1497.00, 4909
-1.70, -78.00, 883.00, 3877
-3.07, -78.53, 1626.00, 3574
-2.47, -79.42, 53.00, 2359
-0.42, -76.06, 280.00, 2992
-0.91, -78.16, 3507.00, 6316
-1.09, -78.58, 2648.00, 5428
-0.37, -78.16, 3764.00, 6243
-3.92, -78.58, 1523.00, 4383
-1.24, -78.74, 3509.00, 6058
-3.38, -79.77, 113.00, 2286
0.19, -78.36, 3015.00, 5380
-2.15, -77.66, 599.00, 3336
-4.08, -80.40, 763.00, 3635
-2.08, -79.51, 17.00, 2424
-1.19, -79.55, 37.00, 2355
-3.67, -79.76, 934.00, 3659
0.05, -78.72, 1818.00, 5335
-3.44, -78.68, 1368.00, 4205
0.22, -78.27, 2661.00, 5191
-4.66, -79.23, 2189.00, 5436
1.31, -78.92, 8.00, 2424
-0.60, -79.42, 163.00, 2187
-2.84, -78.21, 1227.00, 4122
-2.79, -78.78, 2664.00, 5204
0.07, -79.86, 360.00, 2862
-1.83, -80.32, 102.00, 2482
-1.69, -80.57, 609.00, 3403
0.15, -79.06, 512.00, 3303
-1.35, -78.53, 2574.00, 5318
-1.58, -78.51, 3177.00, 5713
0.36, -78.59, 2038.00, 5252
0.55, -77.75, 3153.00, 5785
-1.28, -78.58, 2616.00, 5320
-0.95, -79.85, 106.00, 2097
-3.63, -79.91, 185.00, 2458
-0.28, -78.27, 3943.00, 6215
-1.35, -78.83, 3972.00, 6555
-1.00, -79.00, 2883.00, 5933
-1.16, -78.51, 3043.00, 5718
0.36, -77.95, 2376.00, 5347
-1.78, -79.57, 3.00, 2490
-2.60, -78.72, 3129.00, 5592
-1.39, -78.63, 3054.00, 5694
-1.15, -79.00, 2419.00, 5714
-3.67, -79.70, 1112.00, 3848
-0.45, -78.34, 3401.00, 5896
0.65, -77.78, 2955.00, 5278
-2.26, -78.88, 2473.00, 5424
0.34, -78.42, 2978.00, 5367
-0.88, -78.71, 3442.00, 5936
-0.05, -78.46, 2481.00, 4914
-0.42, -76.68, 254.00, 2990
-3.73, -79.61, 736.00, 3416
-1.08, -80.46, 53.00, 1931
-2.69, -80.28, 18.00, 2546
-4.13, -80.05, 1597.00, 4379
-1.15, -78.56, 2833.00, 5562
-3.02, -78.72, 3219.00, 5793
-3.27, -79.69, 527.00, 3250
-4.95, -79.12, 1092.00, 4212
-3.18, -79.53, 2744.00, 5772
-0.98, -80.31, 201.00, 2033
-1.55, -79.54, 11.00, 2417
-1.50, -78.44, 3738.00, 6325
0.08, -78.38, 2616.00, 5190
-0.17, -78.37, 2385.00, 4976
-0.74, -90.31, 1000.00, 3467
-0.91, -89.61, 1000.00, 3364
-0.05, -76.03, 262.00, 2989
-1.33, -80.70, 218.00, 2467
0.03, -75.84, 232.00, 3010
0.15, -77.55, 985.00, 3462
-0.35, -79.36, 269.00, 2690
-1.60, -80.74, 279.00, 2849
-0.97, -77.66, 762.00, 3681
-0.65, -77.17, 313.00, 2956
-1.09, -77.75, 456.00, 3250
-1.43, -79.54, 25.00, 2439
0.16, -79.24, 181.00, 2269
-0.10, -75.45, 216.00, 2802
-0.95, -90.97, 1000.00, 3385
-2.28, -78.81, 3478.00, 6181
-2.62, -77.27, 265.00, 2973
-2.84, -80.12, 1000.00, 3934
-1.86, -78.50, 4112.00, 6700
-1.76, -78.67, 3088.00, 5669
-4.22, -79.36, 2522.00, 5193
-1.47, -77.99, 948.00, 3975
-1.43, -78.59, 3233.00, 5863
-1.02, -79.48, 79.00, 2247
-4.29, -79.41, 1897.00, 4645
-4.39, -79.27, 2560.00, 5328
-1.38, -78.69, 3656.00, 6228
-3.06, -78.94, 2932.00, 5486
0.71, -80.07, 99.00, 2223
-1.14, -79.36, 70.00, 2269
-0.93, -80.08, 200.00, 2096
0.30, -78.39, 3287.00, 5777
-1.19, -78.72, 3583.00, 6287
-0.21, -78.52, 3017.00, 5470
-1.08, -79.09, 1857.00, 5724
-2.94, -78.73, 3058.00, 5568
-2.86, -78.96, 2552.00, 5222
-1.56, -79.38, 38.00, 2370
-0.56, -79.95, 515.00, 3110
-2.38, -78.38, 3263.00, 6137
-3.13, -79.72, 391.00, 2963
-2.34, -76.56, 277.00, 2802
-1.30, -78.22, 1834.00, 5150
-1.90, -76.25, 210.00, 2871
-1.67, -78.66, 2765.00, 5431
-0.99, -80.39, 174.00, 2045
1.02, -79.43, 7.00, 2295
-2.52, -78.68, 2769.00, 5345
-2.17, -79.51, 24.00, 2475
-0.91, -80.41, 32.00, 1956
0.97, -79.37, 68.00, 2286
0.35, -77.51, 970.00, 3125
0.24, -79.52, 97.00, 2235
-0.10, -76.96, 319.00, 3024
-1.45, -78.63, 3569.00, 6220
-1.93, -80.26, 64.00, 2439
-4.00, -79.06, 2974.00, 5653
-4.21, -80.15, 578.00, 3440
-4.36, -79.83, 753.00, 3561
-4.15, -79.53, 1519.00, 4275
-1.64, -80.80, 178.00, 2342
-1.32, -78.58, 2723.00, 5364
-3.77, -79.50, 1514.00, 4183
0.33, -79.96, 1000.00, 2919
0.11, -78.42, 2071.00, 5106
-4.13, -80.11, 737.00, 3524
-1.65, -77.89, 928.00, 3918
-0.67, -79.08, 1098.00, 3408
